Wavelengths,Int1,Int2
5063.0,276904.7198540719,81060.3929640169
5064.0,276943.1311210946,81071.63738195511
5065.0,276981.47974721843,81082.86346255377
5066.0,277019.76575650583,81094.07121285683
5067.0,277057.98917304305,81105.26063991521
5068.0,277096.1500209444,81116.43175078815
5069.0,277134.24832434795,81127.58455254168
5070.0,277172.28410741925,81138.71905225002
5071.0,277210.2573943472,81149.83525699416
5072.0,277248.1682093482,81160.93317386313
5073.0,277286.01657666336,81172.01280995323
5074.0,277323.8025205588,81183.07417236805
5075.0,277361.52606532583,81194.11726821857
5076.0,277399.18723528244,81205.14210462359
5077.0,277436.78605476936,81216.14868870856
5078.0,277474.32254815515,81227.13702760714
5079.0,277511.79673982953,81238.1071284594
5080.0,277549.2086542055,81249.05899841331
5081.0,277586.55831570545,81259.99264462419
5082.0,277623.84574871144,81270.90807425407
5083.0,277661.07097738195,81281.80529447288
5084.0,277698.2340249572,81292.68431245725
5085.0,277735.33491131297,81303.54513539144
5086.0,277772.37364465237,81314.38777046646
5087.0,277809.35019459337,81325.21222488095
5088.0,277846.2644088102,81336.01850584031
5089.0,277883.1157665,81346.80662055741
5090.0,277919.90268243325,81357.57657625184
5091.0,277956.620633169,81368.32838015072
5092.0,277993.2573491853,81379.06203948778
5093.0,278029.7810700235,81389.7775615044
5094.0,278066.11326104746,81400.47495344833
5095.0,278102.0684303979,81411.15422257465
5096.0,278137.22829154343,81421.81537614575
5097.0,278170.6929219979,81432.45842143026
5098.0,278200.6167461056,81443.08336570454
5099.0,278223.39584651566,81453.69021625126
5100.0,278232.3385053718,81464.2789803605
5101.0,278215.6505729454,81474.84966532882
5102.0,278153.6446517742,81485.40227846004
5103.0,278015.28880052484,81495.93682706445
5104.0,277754.5841635468,81506.45331845967
5105.0,277307.78750445915,81516.95175996954
5106.0,276593.0645914071,81527.43215892531
5107.0,275514.543719299,81537.89452266447
5108.0,273972.611788391,81548.33885853186
5109.0,271881.3468077729,81558.76517387845
5110.0,269192.08837651554,81569.17347606237
5111.0,265919.56699671625,81579.56377244838
5112.0,262164.46644526086,81589.93607040762
5113.0,258124.84986479554,81600.29037731848
5114.0,254089.58582206754,81610.62670056542
5115.0,250410.26843085545,81620.94504754002
5116.0,247453.65893943948,81631.2454256399
5117.0,245542.84786030438,81641.5278422701
5118.0,244899.97926743646,81651.79230484132
5119.0,245604.53612370096,81662.03882077149
5120.0,247578.01128733016,81672.26739748477
5121.0,250599.04955504186,81682.47804241195
5122.0,254345.0248829282,81692.67076299009
5123.0,258449.2610002227,81702.84556666332
5124.0,262559.90289428656,81713.00246088149
5125.0,266387.5777693177,81723.14145310137
5126.0,269733.6101159459,81733.26255078612
5127.0,272496.7246430218,81743.3657614052
